iter	Passed	Remaining
424	3342	180
425	3349	172
426	3356	165
427	3363	157
428	3370	149
429	3377	141
430	3385	133
431	3393	125
432	3400	117
433	3409	109
434	3416	102
435	3425	94
436	3432	86
437	3439	78
438	3447	70
439	3454	62
440	3460	54
441	3468	47
442	3475	39
443	3484	31
444	3492	23
445	3500	15
446	3508	7
447	3515	0
