iter	Logloss
251	0.1650622906
252	0.1648786235
253	0.1648122534
254	0.1647065061
255	0.1645406859
256	0.1643826807
257	0.1643066657
258	0.1641428558
259	0.1640381203
260	0.163897703
261	0.1637866091
262	0.1636141785
263	0.1634513109
264	0.1633806632
265	0.1632452374
266	0.1631193105
267	0.1630343788
268	0.1630004898
269	0.1628953917
270	0.1628664117
271	0.1626761817
272	0.1626014817
273	0.162513752
274	0.1623783996
275	0.1623104115
276	0.1621817846
277	0.1621668216
278	0.1621576721
279	0.1620782895
280	0.1618938284
281	0.161711444
282	0.1616114181
283	0.1613963523
284	0.1612703041
285	0.1611389552
286	0.1609616079
287	0.1608461884
288	0.1607380001
289	0.1606036728
290	0.1604872481
291	0.1603627027
292	0.1602589752
293	0.160142053
294	0.1600244337
295	0.1599111785
296	0.1598060304
297	0.159668578
298	0.1595707921
299	0.1593769665
300	0.1593027792
301	0.1592853869
302	0.1591556223
303	0.1590289304
304	0.158943902
305	0.1588983289
306	0.1587998602
307	0.1586675928
308	0.1585511033
309	0.1584844906
310	0.158386025
311	0.1582999014
312	0.1582376091
313	0.1581416199
314	0.1579673101
315	0.1578584946
316	0.1577286264
317	0.1575885044
318	0.157554946
319	0.1574560129
320	0.1573525874
321	0.1572303145
322	0.1570994231
323	0.1570856816
324	0.1570129955
325	0.1570062739
326	0.1569373848
327	0.1568507941
328	0.1568215543
329	0.1567594898
330	0.156621655
331	0.1564878936
332	0.1562924041
333	0.1562003648
334	0.1561028297
335	0.1560967092
336	0.1559590428
337	0.1558388276
338	0.1558329137
339	0.1557893654
340	0.1556469478
341	0.1555028758
342	0.1553225856
343	0.1551767406
344	0.1550887605
345	0.1549385832
346	0.1548583044
347	0.154798261
348	0.1546624722
349	0.1545486598
350	0.1544906037
351	0.1544651644
352	0.1543498532
353	0.1542367334
354	0.1541554968
355	0.1541094872
356	0.1539962353
357	0.1539301188
358	0.1539175387
359	0.1538205732
360	0.1537453602
361	0.1536201022
362	0.1535637348
363	0.1534556314
364	0.1534157104
365	0.1533303894
366	0.1532037802
367	0.1531117758
368	0.1529928702
369	0.1528344234
370	0.1527011503
371	0.152624816
372	0.1525781758
373	0.1524379284
374	0.1523564149
375	0.1522566511
376	0.1522260263
377	0.1520929197
378	0.1520099154
379	0.151873363
380	0.151838432
381	0.151834283
382	0.1517012879
383	0.1515983305
384	0.1514569161
385	0.1513783649
386	0.1512373768
387	0.1511489429
388	0.1510540187
389	0.1509603382
390	0.1508342029
391	0.1507132473
392	0.1506457726
393	0.1505533018
394	0.1503694844
395	0.1502809931
396	0.1501451143
397	0.1500919043
398	0.1500153656
399	0.1499805537
400	0.1499411628
401	0.149900529
402	0.1498055768
403	0.1497146621
404	0.1495694507
405	0.1494602997
406	0.149370544
407	0.1492927486
408	0.1491808749
409	0.1491522121
410	0.1491209413
411	0.1490674971
412	0.1490134884
413	0.1488954267
414	0.1488094413
415	0.148759667
416	0.148611157
417	0.1485090984
418	0.1483996938
419	0.14836456
420	0.1483343794
421	0.14819767
422	0.1480337958
423	0.1480007701
424	0.1478868076
425	0.1478050143
426	0.1477535195
427	0.1476748303
428	0.147642233
429	0.1476080281
430	0.1475487349
431	0.1474869655
432	0.1474370568
433	0.1473557117
434	0.1473449672
435	0.1472633188
436	0.1471160121
437	0.1469835684
438	0.1468821516
439	0.1468478559
440	0.146786577
441	0.1467285665
442	0.1467041988
443	0.1465825504
444	0.146454586
445	0.146390955
446	0.1463204438
447	0.1462566165
