iter	Logloss
0	0.6342463319
1	0.5812105716
2	0.5376325329
3	0.4996007832
4	0.4647166167
5	0.4369077132
6	0.4142452048
7	0.3916427478
8	0.3704116958
9	0.3545297885
10	0.3420787905
11	0.3292797493
12	0.3190663943
13	0.3099362186
14	0.3007690693
15	0.2930551791
16	0.2862881811
17	0.2804203584
18	0.2748460882
19	0.2692143393
20	0.2649650886
21	0.2622277429
22	0.2579379946
23	0.2548094381
24	0.2515319831
25	0.2487736144
26	0.2463354838
27	0.2437044009
28	0.2407111455
29	0.2387015005
30	0.2368245314
31	0.2348662859
32	0.2331916864
33	0.231066749
34	0.2290073384
35	0.2273532937
36	0.2258394886
37	0.2249805416
38	0.2237064395
39	0.2227460862
40	0.2218473724
41	0.2208418273
42	0.219247253
43	0.2183375661
44	0.2177036366
45	0.2164640647
46	0.2155841452
47	0.2148918283
48	0.2142833832
49	0.2137446551
50	0.2128182826
51	0.2122034969
52	0.2111987056
53	0.2106307766
54	0.209861127
55	0.2093280953
56	0.2087530252
57	0.2080082558
58	0.2074946124
59	0.2070160106
60	0.2062910983
61	0.2057186301
62	0.2053556941
63	0.2046458946
64	0.2042131876
65	0.2033326177
66	0.2028879348
67	0.2025616446
68	0.2022241708
69	0.2017587892
70	0.2013577424
71	0.2009154938
72	0.2006740077
73	0.2003828802
74	0.1999639246
75	0.1996312764
76	0.1992661906
77	0.1988504479
78	0.1983583178
79	0.1981111593
80	0.1978173322
81	0.1974828723
82	0.1967911807
83	0.1965316121
84	0.1961070741
85	0.1957636038
86	0.195498754
87	0.1951129238
88	0.194748721
89	0.1944148375
90	0.1940667814
91	0.1937333864
92	0.1934690014
93	0.1932071392
94	0.1928672477
95	0.1925790818
96	0.1921720693
97	0.1918118328
98	0.1916250903
99	0.1913675779
100	0.1910558022
101	0.1906490216
102	0.190294023
103	0.190007226
104	0.1896870997
105	0.1894455529
106	0.1892602768
107	0.1890492771
108	0.1888573722
109	0.1886286849
110	0.1882020154
111	0.1878940852
112	0.1876295784
113	0.187384283
114	0.1870876298
115	0.1868182161
116	0.1866058127
117	0.1863626683
118	0.1861029188
119	0.18590957
120	0.1856900221
121	0.1854599348
122	0.1850822946
123	0.1847161769
124	0.1844249197
125	0.1842783078
126	0.184029518
127	0.1836491774
128	0.1834366656
129	0.1832397745
130	0.1829904927
131	0.1827093723
132	0.1824651577
133	0.1823366909
134	0.1821568208
135	0.1819869351
136	0.1818097851
137	0.1816168079
138	0.181395971
139	0.1812600702
140	0.1811685122
141	0.1810126214
142	0.1808600189
143	0.1807197126
144	0.1805412827
145	0.1803955739
146	0.1801204561
147	0.1799732786
148	0.1797757211
149	0.1796936553
150	0.1795589089
151	0.1793294347
152	0.1791585607
153	0.1789561457
154	0.1787644526
155	0.1785517732
156	0.1784133324
157	0.1782965076
158	0.1781772752
159	0.1779897777
160	0.1778726033
161	0.1777395852
162	0.177652845
163	0.1775603499
164	0.1773619401
165	0.1771425771
166	0.1769697769
167	0.1768639481
168	0.1766452836
169	0.1765273974
170	0.1763609008
171	0.176293118
172	0.1760930575
173	0.1758194188
174	0.1756229464
175	0.1754736253
176	0.1753168387
177	0.175188034
178	0.1749316585
179	0.1747269473
180	0.1745612485
181	0.174420227
182	0.1742619877
183	0.1741850866
184	0.1740262276
185	0.1738787117
186	0.1736491644
187	0.1734750069
188	0.1733639957
189	0.173225102
190	0.1731255966
191	0.173027948
192	0.1728717854
193	0.1726411776
194	0.1724552763
195	0.1723475301
196	0.1721667624
197	0.1720415725
198	0.1718534806
199	0.1716568754
200	0.1715060413
201	0.1713851348
202	0.1712534637
203	0.1710675509
204	0.1708806405
205	0.1707589884
206	0.1706293519
207	0.1704571489
208	0.170287761
209	0.1701554137
210	0.169992136
211	0.1699678001
212	0.1697840797
213	0.1695991329
214	0.1694664047
215	0.1693380814
216	0.1692438262
217	0.1691469572
218	0.1690533603
219	0.1689454084
220	0.1688619955
221	0.1687155284
222	0.1685880172
223	0.1685033794
224	0.1683487844
225	0.1682589164
226	0.1680533503
227	0.1679624041
228	0.1677789241
229	0.1676219805
230	0.1674894203
231	0.167331655
232	0.1671794874
233	0.1670038371
234	0.1669197658
235	0.166770602
236	0.1666223536
237	0.1665429309
238	0.1663977279
239	0.1662093319
240	0.1660913664
241	0.1659344682
242	0.1658822441
243	0.1658444437
244	0.165735257
245	0.165551314
246	0.165537712
247	0.1654091706
248	0.1652494582
249	0.1652397568
250	0.1651389064
